code,name
AHMEDABAD,Ahmedabad Local Sabha
MUMBAI - ANDHERI,Mumbai - Andheri Local Sabha
MUMBAI - BANDRA,Mumbai - Bandra Local Sabha
MUMBAI - BORIVALI,Mumbai - Borivali Local Sabha
CHENNAI,Chennai Local Sabha
MUMBAI - DADAR,Mumbai - Dadar Local Sabha
MUMBAI - GRANT ROAD,Mumbai - Grant Road Local Sabha
MANGALORE,Mangalore Local Sabha
PUNE,Pune Local Sabha
MUMBAI - SANTACRUZ,Mumbai - Santacruz Local Sabha
SHIRALI,Shirali Local Sabha
THANE,Thane Local Sabha
MUMBAI - VILE PARLE,Mumbai - Vile Parle Local Sabha
MUMBAI - VIRAR,Mumbai - Virar Local Sabha
